agency_name,agency_abbrev,category
Risk Management Agency,,Federal Agency
Rural Business Cooperative Service,,Federal Agency
Rural Housing and Community Development Service,,Federal Agency
Rural Housing Service,,Federal Agency
Rural Telephone Bank,,Federal Agency
Rural Utilities Service,,Federal Agency
Transportation Office,,Federal Agency
US Codex Office,,Federal Agency
Air Quality National Commission,,Federal Agency
Air Transportation Stabilization Board,,Federal Agency
American Battle Monuments Commission,,Federal Agency
Amtrak Reform Council,,Federal Agency
Antitrust Modernization Commission,,Federal Agency
Appalachian Regional Commission,,Federal Agency
Appalachian States Low Level Radioactive Waste Commission,,Federal Agency
Architect of the Capitol,,Federal Agency
Architectural and Transportation Barriers Compliance Board,,Federal Agency
Arctic Research Commission,,Federal Agency
Armed Forces Retirement Home,,Federal Agency
Arms Control and Disarmament Agency,,Federal Agency
Assassination Records Review Board,,Federal Agency
Barry M Goldwater Scholarship and Excellence in Education Foundation,,Federal Agency
Bipartisan Commission on Entitlement and Tax Reform,,Federal Agency
Board of Directors of the Hope for Homeowners Program,,Federal Agency
Broadcasting Board of Governors,,Federal Agency
Census Monitoring Board,,Federal Agency
Central Intelligence Agency,CIA,Federal Agency
Chemical Safety and Hazard Investigation Board,,Federal Agency
Christopher Columbus Quincentenary Jubilee Commission,,Federal Agency
Civil Rights Commission,,Federal Agency
Census Bureau,,Federal Agency
Economic Analysis Bureau,,Federal Agency
Economic Development Administration,,Federal Agency
Economics and Statistics Administration,,Federal Agency
Export Administration Bureau,,Federal Agency
Foreign Trade Zones Board,,Federal Agency
Industry and Security Bureau,,Federal Agency
International Trade Administration,,Federal Agency
Minority Business Development Agency,,Federal Agency
National Institute of Standards and Technology,,Federal Agency
National Oceanic and Atmospheric Administration,NOAA,Federal Agency
National Weather Service,NWS,Federal Agency
National Technical Information Service,,Federal Agency
National Telecommunications and Information Administration,,Federal Agency
Patent and Trademark Office,,Federal Agency
Technology Administration,,Federal Agency
Travel and Tourism Administration,,Federal Agency
Under Secretary for Economic Affairs,,Federal Agency
Commission of Fine Arts,,Federal Agency
Commission on Immigration Reform,,Federal Agency
Commission on Protecting and Reducing Government Secrecy,,Federal Agency
Commission on Review of Overseas Military Facility Structure of the United States,,Federal Agency
Commission on Structural Alternatives for the Federal Courts of Appeals,,Federal Agency
Commission on the Advancement of Federal Law Enforcement,,Federal Agency
Commission on the Future of the United States Aerospace Industry,,Federal Agency
Commission on the Social Security Notch Issue,,Federal Agency
Committee for Purchase From People Who Are Blind or Severely Disabled,,Federal Agency
Committee for the Implementation of Textile Agreements,,Federal Agency
Commodity Futures Trading Commission,,Federal Agency
Competitiveness Policy Council,,Federal Agency
Congressional Budget Office,,Federal Agency
Consumer Financial Protection Bureau,,Federal Agency
Consumer Product Safety Commission,,Federal Agency
Coordinating Council on Juvenile Justice and Delinquency Prevention,,Federal Agency
Corporation for National and Community Service,,Federal Agency
Council of the Inspectors General on Integrity and Efficiency,,Federal Agency
Court Services and Offender Supervision Agency for the District of Columbia,,Federal Agency
Crime and Security in US Seaports Interagency Commission,,Federal Agency
Defense Base Closure and Realignment Commission,,Federal Agency
Air Force Department,,Federal Agency
Army Department,,Federal Agency
Defense Acquisition Regulations System,,Federal Agency
Defense Contract Audit Agency,,Federal Agency
Defense Information Systems Agency,,Federal Agency
Defense Intelligence Agency,,Federal Agency
Defense Investigative Service,,Federal Agency
Defense Logistics Agency,,Federal Agency
Defense Mapping Agency,,Federal Agency
Defense Special Weapons Agency,,Federal Agency
Engineers Corps,,Federal Agency
National Geospatial Intelligence Agency,,Federal Agency
National Security Agency Central Security Service,,Federal Agency
Navy Department,,Federal Agency
Uniformed Services University of the Health Sciences,,Federal Agency
Defense Nuclear Facilities Safety Board,,Federal Agency
Delaware River Basin Commission,,Federal Agency
Denali Commission,,Federal Agency
National Assessment Governing Board,,Federal Agency
Election Assistance Commission,,Federal Agency
Electronic Commerce Advisory Commission,,Federal Agency
Emergency Oil and Gas Guaranteed Loan Board,,Federal Agency
Emergency Steel Guarantee Loan Board,,Federal Agency
Alaska Power Administration,,Federal Agency
Bonneville Power Administration,,Federal Agency
Energy Efficiency and Renewable Energy Office,,Federal Agency
Energy Information Administration,,Federal Agency
Energy Research Office,,Federal Agency
Environment Office Energy Department,,Federal Agency
Federal Energy Regulatory Commission,,Federal Agency
National Nuclear Security Administration,,Federal Agency
Southeastern Power Administration,,Federal Agency
Southwestern Power Administration,,Federal Agency
Western Area Power Administration,,Federal Agency
Environmental Protection Agency,,Federal Agency
Equal Employment Opportunity Commission,,Federal Agency
Executive Council on Integrity and Efficiency,,Federal Agency
Administration Office Executive Office of the President,,Federal Agency
Council on Environmental Quality,,Federal Agency
Export Import Bank,,Federal Agency
Farm Credit Administration,,Federal Agency
Farm Credit System Insurance Corporation,,Federal Agency
Federal Accounting Standards Advisory Board,,Federal Agency
Federal Acquisition Regulation System,,Federal Agency
Federal Communications Commission,,Federal Agency
Federal Deposit Insurance Corporation,,Federal Agency
Federal Election Commission,,Federal Agency
Federal Financial Institutions Examination Council,,Federal Agency
Federal Housing Finance Agency,,Federal Agency
Federal Housing Finance Board,,Federal Agency
Federal Labor Relations Authority,,Federal Agency
Federal Maritime Commission,,Federal Agency
Federal Mediation and Conciliation Service,,Federal Agency
Federal Mine Safety and Health Review Commission,,Federal Agency
Federal Pay Advisory Committee,,Federal Agency
Federal Permitting Improvement Steering Council,,Federal Agency
Federal Register Administrative Committee,,Federal Agency
Federal Reserve System,,Federal Agency
Federal Retirement Thrift Investment Board,,Federal Agency
Federal Trade Commission,,Federal Agency
Financial Crisis Inquiry Commission,,Federal Agency
Financial Stability Oversight Council,,Federal Agency
General Services Administration,,Federal Agency
Government Accountability Office,,Federal Agency
Government Ethics Office,,Federal Agency
Government Publishing Office,,Federal Agency
Gulf Coast Ecosystem Restoration Council,,Federal Agency
Harry S Truman Scholarship Foundation,,Federal Agency
Agency for Healthcare Research and Quality,,Federal Agency
Agency for Toxic Substances and Disease Registry,,Federal Agency
Aging Administration,,Federal Agency
Centers for Disease Control and Prevention,,Federal Agency
Centers for Medicare Medicaid Services,,Federal Agency
Child Support Enforcement Office,,Federal Agency
Children and Families Administration,,Federal Agency
Community Living Administration,,Federal Agency
Family Assistance Office,,Federal Agency
Food and Drug Administration,,Federal Agency
Health Care Finance Administration,,Federal Agency
Health Resources and Services Administration,,Federal Agency
Indian Health Service,,Federal Agency
National Institutes of Health,,Federal Agency
National Library of Medicine,,Federal Agency
Program Support Center,,Federal Agency
Public Health Service,,Federal Agency
Refugee Resettlement Office,,Federal Agency
Substance Abuse and Mental Health Services Administration,,Federal Agency
Coast Guard,,Federal Agency
Federal Emergency Management Agency,,Federal Agency
Federal Law Enforcement Training Center,,Federal Agency
National Communications System,,Federal Agency
Secret Service,,Federal Agency
Transportation Security Administration,,Federal Agency
US Citizenship and Immigration Services,,Federal Agency
US Customs and Border Protection,,Federal Agency
US Immigration and Customs Enforcement,,Federal Agency
Federal Housing Enterprise Oversight Office,,Federal Agency
Government National Mortgage Association,,Federal Agency
Indian Arts and Crafts Board,,Federal Agency
Institute of American Indian and Alaska Native Culture and Arts Development,,Federal Agency
Inter American Foundation,,Federal Agency
Interagency Floodplain Management Review Committee,,Federal Agency
Intergovernmental Relations Advisory Commission,,Federal Agency
Fish and Wildlife Service,,Federal Agency
United States Geological Survey,USGS,Federal Agency
Hearings and Appeals Office Interior Department,,Federal Agency
Indian Affairs Bureau,,Federal Agency
Indian Trust Transition Office,,Federal Agency
Bureau of Land Management,BLM,Federal Agency
Minerals Management Service,,Federal Agency
Mines Bureau,,Federal Agency
National Biological Service,,Federal Agency
National Civilian Community Corps,,Federal Agency
National Indian Gaming Commission,,Federal Agency
National Park Service,NPS,Federal Agency
Natural Resources Revenue Office,,Federal Agency
Ocean Energy Management Bureau,,Federal Agency
Ocean Energy Management Regulation and Enforcement Bureau,,Federal Agency
Reclamation Bureau,,Federal Agency
Safety and Environmental Enforcement Bureau,,Federal Agency
Special Trustee for American Indians Office,,Federal Agency
Surface Mining Reclamation and Enforcement Office,,Federal Agency
International Boundary and Water Commission United States and Mexico,,Federal Agency
International Broadcasting Board,,Federal Agency
International Development Finance Corporation,,Federal Agency
International Trade Commission,,Federal Agency
Interstate Commerce Commission,,Federal Agency
James Madison Memorial Fellowship Foundation,,Federal Agency
Joint Board for Enrollment of Actuaries,,Federal Agency
Judicial Conference of the United States,,Federal Agency
Judicial Review Commission on Foreign Asset Control,,Federal Agency
Alcohol Tobacco Firearms and Explosives Bureau,,Federal Agency
Antitrust Division,,Federal Agency
Drug Enforcement Administration,,Federal Agency
Executive Office for Immigration Review,,Federal Agency
Federal Bureau of Investigation,FBI,Federal Agency
Federal Prison Industries,,Federal Agency
Foreign Claims Settlement Commission,,Federal Agency
Immigration and Naturalization Service,,Federal Agency
Justice Programs Office,,Federal Agency
Juvenile Justice and Delinquency Prevention Office,,Federal Agency
National Institute of Corrections,,Federal Agency
National Institute of Justice,,Federal Agency
Parole Commission,,Federal Agency
Prisons Bureau,,Federal Agency
United States Marshals Service,,Federal Agency
Benefits Review Board,,Federal Agency
Disability Employment Policy Office,,Federal Agency
Employee Benefits Security Administration,,Federal Agency
Employees Compensation Appeals Board,,Federal Agency
Employment and Training Administration,,Federal Agency
Employment Standards Administration,,Federal Agency
Federal Contract Compliance Programs Office,,Federal Agency
Labor Statistics Bureau,,Federal Agency
Labor Management Standards Office,,Federal Agency
Mine Safety and Health Administration,,Federal Agency
Occupational Safety and Health Administration,,Federal Agency
Pension and Welfare Benefits Administration,,Federal Agency
Veterans Employment and Training Service,,Federal Agency
Wage and Hour Division,,Federal Agency
Workers Compensation Programs Office,,Federal Agency
Legal Services Corporation,,Federal Agency
Library of Congress,,Federal Agency
Local Television Loan Guarantee Board,,Federal Agency
Federal Procurement Policy Office,,Federal Agency
Marine Mammal Commission,,Federal Agency
Medicare Payment Advisory Commission,,Federal Agency
Merit Systems Protection Board,,Federal Agency
Military Compensation and Retirement Modernization Commission,,Federal Agency
Millennium Challenge Corporation,,Federal Agency
Mississippi River Commission,,Federal Agency
Morris K Udall and Stewart L Udall Foundation,,Federal Agency
National Aeronautics and Space Administration,,Federal Agency
National Archives and Records Administration,,Federal Agency
National Bankruptcy Review Commission,,Federal Agency
National Bipartisan Commission on Future of Medicare,,Federal Agency
National Capital Planning Commission,,Federal Agency
National Commission on Intermodal Transportation,,Federal Agency
National Commission on Libraries and Information Science,,Federal Agency
National Commission on Manufactured Housing,,Federal Agency
National Commission on Military National and Public Service,,Federal Agency
National Commission on Terrorist Attacks Upon the United States,,Federal Agency
National Commission on the Cost of Higher Education,,Federal Agency
National Council on Disability,,Federal Agency
National Counterintelligence Center,,Federal Agency
National Credit Union Administration,,Federal Agency
National Crime Prevention and Privacy Compact Council,,Federal Agency
National Economic Council,NEC,Federal Agency
National Education Goals Panel,,Federal Agency
Federal Council on the Arts and the Humanities,,Federal Agency
Institute of Museum and Library Services,,Federal Agency
National Endowment for the Arts,,Federal Agency
National Endowment for the Humanities,,Federal Agency
National Gambling Impact Study Commission,,Federal Agency
National Institute for Literacy,,Federal Agency
National Intelligence Office of the National Director,,Federal Agency
National Labor Relations Board,,Federal Agency
National Mediation Board,,Federal Agency
National Nanotechnology Coordination Office,,Federal Agency
National Partnership for Reinventing Government,,Federal Agency
National Prison Rape Elimination Commission,,Federal Agency
National Railroad Passenger Corporation,,Federal Agency
National Science Foundation,NSF,Federal Agency
National Security Commission on Artificial Intelligence,,Federal Agency
National Security Council,,Federal Agency
National Skill Standards Board,,Federal Agency
National Transportation Safety Board,,Federal Agency
National Womens Business Council,,Federal Agency
Navajo and Hopi Indian Relocation Office,,Federal Agency
Neighborhood Reinvestment Corporation,,Federal Agency
Northeast Dairy Compact Commission,,Federal Agency
Northeast Interstate Low Level Radioactive Waste Commission,,Federal Agency
Nuclear Regulatory Commission,,Federal Agency
Nuclear Waste Technical Review Board,,Federal Agency
Occupational Safety and Health Review Commission,,Federal Agency
Ocean Policy Commission,,Federal Agency
Office of National Drug Control Policy,,Federal Agency
Office of Policy Development,,Federal Agency
Oklahoma City National Memorial Trust,,Federal Agency
Ounce of Prevention Council,,Federal Agency
Overseas Private Investment Corporation,,Federal Agency
Pacific Northwest Electric Power and Conservation Planning Council,,Federal Agency
Panama Canal Commission,,Federal Agency
Peace Corps,,Federal Agency
Pension Benefit Guaranty Corporation,,Federal Agency
Personnel Management Office,,Federal Agency
Physician Payment Review Commission,,Federal Agency
Postal Rate Commission,,Federal Agency
Postal Regulatory Commission,,Federal Agency
Postal Service,,Federal Agency
Presidents Council on Integrity and Efficiency,,Federal Agency
Presidents Critical Infrastructure Protection Board,,Federal Agency
Presidential Advisory Committee on Gulf War Veterans Illnesses,,Federal Agency
Presidential Commission on Assignment of Women in the Armed Forces,,Federal Agency
Presidio Trust,,Federal Agency
Privacy and Civil Liberties Oversight Board,,Federal Agency
Prospective Payment Assessment Commission,,Federal Agency
Public Buildings Reform Board,,Federal Agency
Railroad Retirement Board,,Federal Agency
Reagan Udall Foundation for the Food and Drug Administration,,Federal Agency
Recovery Accountability and Transparency Board,,Federal Agency
Regulatory Information Service Center,,Federal Agency
Resolution Trust Corporation,,Federal Agency
Science and Technology Policy Office,,Federal Agency
Securities and Exchange Commission,,Federal Agency
Selective Service System,,Federal Agency
Small Business Administration,,Federal Agency
Smithsonian Institution,,Federal Agency
Social Security Administration,,Federal Agency
Special Counsel Office,,Federal Agency
Special Inspector General for Afghanistan Reconstruction,,Federal Agency
Special Inspector General For Iraq Reconstruction,,Federal Agency
State Department,,Federal Agency
State Justice Institute,,Federal Agency
Surface Transportation Board,,Federal Agency
Susquehanna River Basin Commission,,Federal Agency
Tennessee Valley Authority,,Federal Agency
The White House Office,,Federal Agency
Thrift Depositor Protection Oversight Board,,Federal Agency
Trade and Development Agency,,Federal Agency
Trade Representative Office of United States,,Federal Agency
Commercial Space Transportation Office,,Federal Agency
Federal Aviation Administration,FAA,Federal Agency
Federal Highway Administration,,Federal Agency
Federal Motor Carrier Safety Administration,,Federal Agency
Federal Railroad Administration,,Federal Agency
Federal Transit Administration,,Federal Agency
Great Lakes St Lawrence Seaway Development Corporation,,Federal Agency
Maritime Administration,,Federal Agency
National Highway Traffic Safety Administration,,Federal Agency
Office of Motor Carrier Safety,,Federal Agency
Pipeline and Hazardous Materials Safety Administration,,Federal Agency
Research and Innovative Technology Administration,,Federal Agency
Research and Special Programs Administration,,Federal Agency
Transportation Statistics Bureau,,Federal Agency
Alcohol and Tobacco Tax and Trade Bureau,,Federal Agency
Bureau of the Fiscal Service,,Federal Agency
Community Development Financial Institutions Fund,,Federal Agency
Comptroller of the Currency,,Federal Agency
Customs Service,,Federal Agency
Engraving and Printing Bureau,,Federal Agency
Financial Crimes Enforcement Network,,Federal Agency
Financial Research Office,,Federal Agency
Fiscal Service,,Federal Agency
Foreign Assets Control Office,,Federal Agency
Internal Revenue Service,,Federal Agency
International Investment Office,,Federal Agency
Investment Security Office,,Federal Agency
Monetary Offices,,Federal Agency
Public Debt Bureau,,Federal Agency
Thrift Supervision Office,,Federal Agency
United States Mint,,Federal Agency
Twenty First Century Workforce Commission,,Federal Agency
US House of Representatives,,Federal Agency
US Trade Deficit Review Commission,,Federal Agency
US China Economic and Security Review Commission,,Federal Agency
Unified Carrier Registration Plan,,Federal Agency
United States African Development Foundation,,Federal Agency
United States Agency for Global Media,,Federal Agency
United States Enrichment Corporation,,Federal Agency
United States Information Agency,,Federal Agency
United States Institute of Peace,,Federal Agency
United States Olympic and Paralympic Committee,,Federal Agency
United States Sentencing Commission,,Federal Agency
Utah Reclamation Mitigation and Conservation Commission,,Federal Agency
Valles Caldera Trust,,Federal Agency
Veterans Affairs Department,,Federal Agency
Womens Business Enterprise Interagency Committee,,Federal Agency
Womens Progress Commemoration Commission,,Federal Agency
Angelina Neches River Authority,ANRA,River Authority
Bandera County River Authority and Groundwater District,BCRAGD,River Authority
Central Colorado River Authority,CCRA,River Authority
Guadalupe Blanco River Authority,GBRA,River Authority
Lavaca Navidad River Authority,LNRA,River Authority
Lower Neches Valley Authority,LNVA,River Authority
Palo Duro River Authority,PDRA,River Authority
San Antonio River Authority,SARA,River Authority
Alamo Area Council of Governments,AACOG,Council of Government
Ark Tex Council of Governments,ARK TEX,Council of Government
Brazos Valley Council of Governments,BVCOG,Council of Government
Capital Area Council of Governments,CAPCOG,Council of Government
Central Texas Council of Governments,CTCOG,Council of Government
Coastal Bend Council of Governments,CBCOG,Council of Government
Concho Valley Council of Governments,CVCOG,Council of Government
Deep East Texas Council of Governments,DETCOG,Council of Government
East Texas Council of Governments,ETCOG,Council of Government
Golden Crescent Regional Planning Commission,GCRPC,Council of Government
Heart of Texas Council of Governments,HOTCOG,Council of Government
Houston Galveston Area Council,H GAC,Council of Government
Lower Rio Grande Valley Development Council,LRGVDC,Council of Government
Middle Rio Grande Development Council,MRGDC,Council of Government
Nortex Regional Planning Commission,NORTEX,Council of Government
North Central Texas Council of Governments,NCTCOG,Council of Government
Panhandle Regional Planning Commission,PRPC,Council of Government
Permian Basin Regional Planning Commission,PBRPC,Council of Government
Rio Grande Council of Governments,RGCOG,Council of Government
South East Texas Regional Planning Commission,SETRPC,Council of Government
South Plains Association of Governments,SPAG,Council of Government
South Texas Development Council,STDC,Council of Government
Texoma Council of Governments,TEXOMA,Council of Government
West Central Texas Council of Governments,WCTCOG,Council of Government
Anderson,1,County
Andrews,3,County
Angelina,5,County
Aransas,7,County
Archer,9,County
Armstrong,11,County
Atascosa,13,County
Austin,15,County
Bailey,17,County
Bandera,19,County
Bastrop,21,County
Baylor,23,County
Bee,25,County
Bell,27,County
Bexar,29,County
Blanco,31,County
Borden,33,County
Bosque,35,County
Bowie,37,County
Brazoria,39,County
Brazos,41,County
Brewster,43,County
Briscoe,45,County
Brooks,47,County
Brown,49,County
Burleson,51,County
Burnet,53,County
Caldwell,55,County
Calhoun,57,County
Callahan,59,County
Cameron,61,County
Camp,63,County
Carson,65,County
Cass,67,County
Castro,69,County
Chambers,71,County
Cherokee,73,County
Childress,75,County
Clay,77,County
Cochran,79,County
Coke,81,County
Coleman,83,County
Collin,85,County
Collingsworth,87,County
Colorado,89,County
Comal,91,County
Comanche,93,County
Concho,95,County
Cooke,97,County
Coryell,99,County
Cottle,101,County
Crane,103,County
Crockett,105,County
Crosby,107,County
Culberson,109,County
Dallam,111,County
Dallas,113,County
Dawson,115,County
Deaf Smith,117,County
Delta,119,County
Denton,121,County
DeWitt,123,County
Dickens,125,County
Dimmit,127,County
Donley,129,County
Duval,131,County
Eastland,133,County
Ector,135,County
Edwards,137,County
Ellis,139,County
El Paso,141,County
Erath,143,County
Falls,145,County
Fannin,147,County
Fayette,149,County
Fisher,151,County
Floyd,153,County
Foard,155,County
Fort Bend,157,County
Franklin,159,County
Freestone,161,County
Frio,163,County
Gaines,165,County
Galveston,167,County
Garza,169,County
Gillespie,171,County
Glasscock,173,County
Goliad,175,County
Gonzales,177,County
Gray,179,County
Grayson,181,County
Gregg,183,County
Grimes,185,County
Guadalupe,187,County
Hale,189,County
Hall,191,County
Hamilton,193,County
Hansford,195,County
Hardeman,197,County
Hardin,199,County
Harris,201,County
Harrison,203,County
Hartley,205,County
Haskell,207,County
Hays,209,County
Hemphill,211,County
Henderson,213,County
Hidalgo,215,County
