,status,display_name,metadata_level,metadata_group,definition,example,use,conditional,use_condition,accepts_mulitple_values,validation,published_terms
48,Core,Keyword Vocabulary,Model,Discovery,Vocabulary for subject matter keywords listed in Keyword Term.,"AGROVOC, USGS",Recommended,Yes,Keyword Terms,No,Controlled Terms,https://github.com/TexasDIS/metadata/blob/main/controlled_terms/keyword_vocabulary.csv
50,Core,License,Model,Administrative,License associated with the digital object.,,Optional,No,None,No,Text,None
64,Core,Model Config File,Model,Discovery,File or files required for running the model.,,Required,,,Yes,,
51,Core,Model Dimension,Model,Discovery,"Dimensionality choice of a terrain model (1D, 2D, 3D, or combos) created prior to running hydro model computations.",,Required,No,,Yes,,https://github.com/TexasDIS/metadata/blob/main/controlled_terms/model_dimension.csv
62,Core,Model Software Name,Model,Discovery,The name of the model software used to create or work with the digital object.,HEC-RAS,Required ,No,None,No,Controlled Terms,https://github.com/TexasDIS/metadata/blob/main/controlled_terms/software.csv
63,Core,Model Software Version,Model,Discovery,The version of the software used to create or work with the digital object.,2.0.1,Required,No,None,No,Numeric,None
52,Core,Model Type,Model,Discovery,The type of model.,"Hydrauilic, Meteorologic",Required,No,None,Yes,Controlled Terms,https://github.com/TexasDIS/metadata/blob/main/controlled_terms/model_type.csv
53,Core,Object Version,Model,Administrative,Version number of the digital object.,,Optional,No,None,No,None,None
59,Core,Purpose,Model,Discovery,A description of the purpose for the creation of this digital object and/or the expected use.,"For future flood forecasting, predicting severity of future floods, and delineating floodplain maps
",Optional,No,None,No,Text,None
60,Core,Scale,Model,Coverage,The scale of the dataset ,"global, national, regional, local",Recommended,No,None,No,Controlled Terms,https://github.com/TexasDIS/metadata/blob/main/controlled_terms/scale_range.csv
61,Core,Service Endpoint Type,Model,Access,The type of service endpoint used for distribution.,Feature layer service,Strongly Recommended,No,Service Endpoint URL,No,Controlled Terms,https://github.com/TexasDIS/metadata/blob/main/controlled_terms/service_endpoint_type.csv
67,Core,Spatial Extent (Decimal Degrees),Model,Coverage,"Coordinates for the bounding box describing the spatial extent covered by the digital object, in decimal degrees.","31.555, 27.555, -97.555, -101.555 ",Required,No,None,Yes,Array: Decimal Degrees or Geometry: Polygon,None
68,Core,Time Period Covered,Model,Coverage,"Time period to which the data refer as a single date-time or an interval. Must conform to the ISO 8601 standard. This reflects the time period covered by the data, not the dates of coding or making documents machine-readable or the dates the data were collected. Also known as the ""span"" covered by the data, this may reflect the dates during which an event occured.",09-09-2017/10-10-2017,Recommended,No,None,Yes,Date: ISO 8601,None
69,Core,Title,Model,Discovery,A name given to the digital object.,USGS High Water Marks,Required,No,None,No,Text,None
70,Core,Update Frequency,Model,Administrative,How often the content is updated.,"Hourly, Monthly, Realtime",Required,No,None,No,Controlled Terms,https://github.com/TexasDIS/metadata/blob/main/controlled_terms/update_frequency.csv
71,Core,Use Constraint,Model,Administrative,Constraints or restrictions on use of the digital object.,"Public, Limited, Restricted",Required,No,None,Yes,Controlled Terms,https://github.com/TexasDIS/metadata/blob/main/controlled_terms/use_constraint.csv
