,Zoning,,,,Zoning,Land Cover / Land Use / Zoning,"Land use and land cover are commonly referenced in the same conversation because they are inherently related. Land cover typically refers to the physical landscape and its dominant vegetation, whereas land use describes the modification and management practices applied to the land for economic purposes in human geography. The two prevailing methods for determining land cover characteristics are field surveys and the interpretation of imagery collected by satellites and aircraft.  Zoning is a method to administer land use in which a jurisdiction, typically a city, designates areas or zones where certain land uses are permitted or prohibited. Some zones are single use (residential, industrial) and some are designated for mixed-use."
,Stormwater Asset Inventories and As-Built Plans,,,,Municipal Stormwater Asset Inventories,,
,Hydraulic Structures,,,,Hydraulic Structures,,
,National Land Cover Database,,,,National Land Cover Database,Land Cover / Land Use / Zoning,"Land use and land cover are commonly referenced in the same conversation because they are inherently related. Land cover typically refers to the physical landscape and its dominant vegetation, whereas land use describes the modification and management practices applied to the land for economic purposes in human geography. The two prevailing methods for determining land cover characteristics are field surveys and the interpretation of imagery collected by satellites and aircraft.  Zoning is a method to administer land use in which a jurisdiction, typically a city, designates areas or zones where certain land uses are permitted or prohibited. Some zones are single use (residential, industrial) and some are designated for mixed-use."
,National Levee Database,,,,National Levee Database,,
,Impervious Surface Areas,,,,Impervious Surface Areas,,
,Building Footprints,,,,"Building Footprints (Type, construction, and number of floors)",,
,Survey Control Monumentation,,,,Survey Control Monumentation,,
,National Highway System,,,,National Highway System,Transportation,
,Transportation Features,,,,Transportation Features,,"Transportation systems provide a means to convey people or goods from a point of origin to one or more destinations. The means by which transportation is accomplished can be divided into three basic types: land, such as road rail, and pipelines; water, which includes shipping; and air travel and shipping. Land-based transportation networks and their related infrastructure are the central factors impacting emergency management response, recovery and mitigation."
,Parcels,,,,Parcels,Land Parcels,"A land parcel represents the legal boundaries of a unit of property defined for the purpose of tracking ownership and real estate title, land use, land value and taxation. In Texas, the land parcel polygons, which are frequently edited and updated using geographic information systems, are maintained by central appraisal districts at the local county level often with the assistance of private sector vendors."
,,,"Infrastructure, Regulations, and Planning Documents",,,,
,,,,,Abandoned Areas (greyfields),,
,,,,,Build Hazard Areas (wells/ tanks/ spoils/ superfund),,
,,,,,Contaminated Areas (brownfields),,
,,,,,Low Water Crossings and Fords,,
,,,,,Major Utilities,,
,,,,,Marine Transportation,Transportation,"Transportation systems provide a means to convey people or goods from a point of origin to one or more destinations. The means by which transportation is accomplished can be divided into three basic types: land, such as road rail, and pipelines; water, which includes shipping; and air travel and shipping. Land-based transportation networks and their related infrastructure are the central factors impacting emergency management response, recovery and mitigation."
,,,,,Military Installations,,
,,,,,Other Built Environment Datasets,Street Addressing,"Street addressing is a method for locating a building or entrance using a system of digital maps and road signs to indicate the physical locations of address points. The street addressing data theme provides an indispensable foundation for urban, suburban and rural community administration and planning. Addressing systems are managed by local jurisdictions and incorporate a fixed, numerical scheme assigned to all street and roadway segments."
,,,,,,Agriculture,A wide range of periodic statistical reports and geospatial data are contained in the agriculture data theme
Ecological,,,,Ecological,Critical Habitat,,
,"Environmentally Sensitive Areas, Areas of Environmental Concern",,,,Environmentally Sensitive Areas/ Areas of Environmental Concern,,
,,,,,Federal and State Listed Species,,
,,,,,Vegetation,Land Cover / Land Use / Zoning,"Land use and land cover are commonly referenced in the same conversation because they are inherently related. Land cover typically refers to the physical landscape and its dominant vegetation, whereas land use describes the modification and management practices applied to the land for economic purposes in human geography. The two prevailing methods for determining land cover characteristics are field surveys and the interpretation of imagery collected by satellites and aircraft.  Zoning is a method to administer land use in which a jurisdiction, typically a city, designates areas or zones where certain land uses are permitted or prohibited. Some zones are single use (residential, industrial) and some are designated for mixed-use."
,,,,,Wetlands,,
Imagery,Aerial Imagery,,,Imagery,Aerial Imagery,High-Resolution Baseline Imagery,High-Resolution Baseline Imagery in the form of conventional aerial photographs or from the imagery collected by aerial and satellite sensor systems is used in combination with Geodetic Control and Topography data to create Orthoimagery.
,,,,,Earth-Observing Satellites for emergency management,,
,,,,,Flood Event Imagery,,
,,,,,Geospatial Hazard Response Datasets,,
,Natural Disaster Imagery,,,,Natural Disaster Imagery,,
,,,,,Point Source Discharge,,
,,,,,Surface Water Quality,,
Literature Source,Documents and Standards for Project Outputs or Policy Recommendations,Literature Source,,Literature Source,"Documents and Standards for Project Outputs, Policy Recommendations and engineering methods",,
,Engineering Methods,,,,,,
,,,,,Academic Literature,,
,,,,,Ordinances / Laws,,
,,,Non-spatial reports,,Published Reports,,
,Published Reports on Historic Flooding,,,,Published Reports on Historic Flooding,,
Mitigation Support,Flood mitigation projects,Mitigation Support,,Mitigation Support,"Hazard Mitigation Plans, Actions, and Projects",,
,Stormwater management projects,,,,,,
,As-built plans,,,,,,
,Elevation certificates,,,,Elevation Certificates,,
,,,,,NFIP Policies,,
,,,,,Repetitive Loss / Severe Repetitive Loss Properties,,
,,,Mitigation products,,Mitigation Support Datasets,,
Model,Agent-based Models,,,Model,Agent-based Models,,
,Coastal Models,,,,Coastal Models,,
,Consequence and Economic Loss Models,,,,Consequence and Economic Loss Models,,
,Demographic Models,,,,Demographic Models,,
,,,,,Economic Models,,
,,,,,Existing FEMA channel bathymetry models,,
,Base Level Engineering (BLE) Models,,,,Federal Emergency Management Agency (FEMA) Base Level Engineering (BLE) data,,
,General Circulation Models (GCM),,,,General Circulation Models (GCM),,
,Hydrologic and Hydraulic Models and Studies,,,,"Hydrologic and Hydraulic models and studies commissioned by other local, state agencies, or federal entities.",,
,,,,,Loss Models,,
,Machine Learning/AI Models,,,,Machine Learning & AI models,,
,,,,,Risk Assessment Models,,
Natural Environment,Coastal Stage Data,,,Natural Environment,Coastal Stage Data,,
,Ecological Data,,,,Ecological Data,,
,,,,,Existing Land Use,,
,,,,,Future Land Use,,
,"Groundwater Table, Aquifer Locations",,,,"Groundwater Table, Aquifer Locations",,
,,,,,"HUC8 Modeling Design Approach, Cost Estimation, and Schedule",,
,,,,,Hydrography,,
,,,,,Stage data,,
,Streamflow Data,,,,Streamflow data,,
,Texas NAIP 60-cm Statewide Imagery,,,,Texas NAIP 60-cm Statewide Imagery,,
,,,,,Tidal Stations,,
,,,,,Watershed (HUC Basins),,
,Wetlands (NWI),,,,Wetlands (NWI),,
,Soil Survey Data,,,Soils,Digital soil survey data Soil Survey Geographic Database (SSURGO),Soils,"Soils data products contain a wide variety of descriptive attributes for the soils covering a particular area, including taxonomic classification, chemical and physical properties, water capacity, frequency of flooding, and land development."
,,,,,Soil Survey Data,,
,,,,Topography/Bathymetry,Galveston Bay Lidar,Topography,"Topography describes the shape and features of land surfaces and is usually represented by vector data as contour lines and raster data, commonly referred to as Digital Elevation Models (DEMs)."
,Generated (green beam) LiDAR-based satellite-derived bathymetry product,,,,"Generated (green beam) LiDAR-based satellite derived
bathymetry product",Bathymetry,"Bathymetry data include a wide variety of depth measurements extending below the water surface in the marine, near-shore, bay and estuary, river and reservoir environments. Bathymetry data sets are used to represent underwater topography, including the shapes of features on the seabed and the bottoms of bays, natural lakes and reservoirs"
,,,,,Bathymetry,,
,,,,,Buffalo Bayou Lidar 2018,,
,Channel Bathymetric Surveys,,,,Channel Bathymetric Surveys,,
,Light Detection and Ranging (LiDAR) Data and Digital Elevation Model (DEM) Data,,,,Light Detection and Ranging (LiDAR) Data and Digital Elevation Model (DEM) Data,,
,,,,,Local Lidar near channels,,
,,,,,Matagorda Bay Lidar,,
,,,,,Terrain Data,,
,Topobathy Datasets,,,,Topobathy Datasets,,
,Topographic Surveys,,,,Topographic Surveys,,
,,,,,Upper Coast Lidar,,
,,,,,,Hydrography,Hydrography is the science dealing with the measurement and description of the physical features of water bodies and the land areas adjacent to them and predicting their change over time.
,,,,,,Geodetic Control,Geodetic control forms the reference frame upon which all other geospatial data themes are constructed. The control network of highly accurate point locations anchors features in three- dimensional space with respect to their horizontal positions according to the geodetic reference datum in a map coordinate system and their vertical positions in relation to the Earth ellipsoid approximating the true shape of the Earth.
Natural Hazards,,Natural Hazards,,Hazards and Engineering Study Datasets,Engineering Studies,,
,,,"Hazard identification products generally including model outputs, floodplain mapping, regulatory and non-regulatory FEMA products",,FEMA Risk Map Products,,
,"FEMA Flood Insurance Studies (FIS), Special Flood Hazard Areas (SFHA), Annual Exceedance Probability (AEP)",,,,FEMA SFHA,,
,,,,,Hazard Areas,,
,High Water Marks (HWM),,,,High Water Marks (HWM),,
,Historical Flood Claim Data,,,,Historical Flood Claim Data,Disaster Insurance Claims,"Disaster insurance providers, who sell insurance for damage caused by flooding, hurricanes, hailstorms, windstorms and wildfires, maintain information about policyholders in their internal databases."
,,,,,Historical Flooding Support Information,,
,"Local Flooding Data (Structures, Road Closures, Other Pertinent Data)",,,,Local Flooding Data (Structures/Road Closures/Other Pertinent Data),,
,,,,,Non-FEMA Flood Risk Data Sources,,
,,,,,State / Local Flood Hazard Areas,,
,,Demographic,,Regional Demographics,Commuter Information,,
,,,,,Cultural / Historically Significant Areas,,
,,,,,Elected Officials,,
,,,,,Low to Moderate Income (LMI),,
,,,,,Per Capita Market Value (Depreciated Replacement Costs),,
,,,,,Population Dataset / Census,,
,,,Statistical data describing the representative population and derived products,,Social Vulnerability Index,,
,,,,,,Public Health,Public Health data can be considered a specialized subset of demographic data in that demography provides the population context and the geographic backbone supporting analysis and interpretation.
